city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Iguatu,CE,103074,11.23,11576,220,0.21,1.90,107,3
Independência,CE,26187,7.80,2042,56,0.21,2.74,31,5
Ipaporanga,CE,11596,12.07,1400,17,0.15,1.21,3,0
Ipaumirim,CE,12485,10.12,1264,20,0.16,1.58,2,0
Ipu,CE,42058,11.86,4987,78,0.19,1.56,55,17
Ipueiras,CE,38114,7.48,2852,59,0.15,2.07,21,0
Iracema,CE,14326,17.28,2475,34,0.24,1.37,9,0
Irauçuba,CE,24305,4.83,1175,43,0.18,3.66,4,0
Itaitinga,CE,38325,12.02,4608,67,0.17,1.45,8,1
Itaiçaba,CE,7866,19.12,1504,22,0.28,1.46,-2,0
Itapajé,CE,53067,6.09,3232,138,0.26,4.27,3,1
Itapipoca,CE,130539,8.18,10677,280,0.21,2.62,24,0
Itapiúna,CE,20520,10.78,2212,36,0.18,1.63,5,0
Itarema,CE,42215,8.22,3470,47,0.11,1.35,-45,0
Itatira,CE,21836,9.91,2164,41,0.19,1.89,9,1
Jaguaretama,CE,18147,10.83,1965,43,0.24,2.19,-3,0
Jaguaribara,CE,11492,9.48,1090,24,0.21,2.20,9,0
Jaguaribe,CE,34636,13.04,4517,78,0.23,1.73,46,1
Jaguaruana,CE,33834,11.12,3763,70,0.21,1.86,3,0
Jardim,CE,27181,6.92,1881,58,0.21,3.08,17,2
Jati,CE,8130,9.78,795,13,0.16,1.63,3,0
Jijoca de Jericoacoara,CE,20087,14.04,2821,31,0.15,1.10,13,2
Juazeiro do Norte,CE,276264,10.80,29838,632,0.23,2.12,292,6
Jucás,CE,24892,7.56,1883,68,0.27,3.61,78,0
Lavras da Mangabeira,CE,31492,9.52,2998,53,0.17,1.77,21,0
Limoeiro do Norte,CE,59890,12.35,7395,144,0.24,1.95,59,0
Madalena,CE,19864,7.02,1395,36,0.18,2.58,-3,1
Maracanaú,CE,229458,9.36,21473,734,0.32,3.42,74,1
Maranguape,CE,130346,8.98,11709,262,0.20,2.24,27,5
Marco,CE,27595,6.79,1874,36,0.13,1.92,0,0
Martinópole,CE,11321,13.41,1518,27,0.24,1.78,1,0
Massapê,CE,39044,6.52,2547,86,0.22,3.38,12,0
Mauriti,CE,48168,9.45,4551,114,0.24,2.50,47,1
Meruoca,CE,15185,11.37,1726,33,0.22,1.91,2,0
Milagres,CE,27462,11.62,3192,62,0.23,1.94,5,0
Milhã,CE,13142,10.83,1423,29,0.22,2.04,30,0
Miraíma,CE,13894,9.71,1349,19,0.14,1.41,7,0
Missão Velha,CE,35480,6.55,2324,56,0.16,2.41,-6,2
Mombaça,CE,43858,8.96,3928,109,0.25,2.77,24,0
Monsenhor Tabosa,CE,17249,11.26,1943,37,0.21,1.90,2,0
Morada Nova,CE,61738,14.81,9141,165,0.27,1.80,-2,0
Moraújo,CE,8779,21.91,1924,23,0.26,1.19,0,0
Morrinhos,CE,22685,6.37,1444,32,0.14,2.21,0,0
Mucambo,CE,14549,13.02,1894,30,0.21,1.58,27,0
Mulungu,CE,10941,11.49,1257,19,0.17,1.51,-1,0
Nova Olinda,CE,15684,8.70,1365,20,0.13,1.46,5,2
Nova Russas,CE,32408,11.69,3790,70,0.22,1.85,19,1
Novo Oriente,CE,28673,5.95,1705,39,0.14,2.29,1,0
Ocara,CE,25833,8.43,2178,41,0.16,1.88,-2,1
Orós,CE,21384,18.57,3972,86,0.40,2.16,87,1
Pacajus,CE,73188,7.72,5649,119,0.16,2.11,8,2
Pacatuba,CE,84554,7.35,6217,237,0.28,3.81,11,2
Pacoti,CE,12288,11.78,1448,27,0.22,1.86,-1,0
Pacujá,CE,6549,9.65,632,11,0.17,1.74,9,0
Palhano,CE,9422,15.37,1448,25,0.27,1.73,2,0
Palmácia,CE,13439,7.32,984,23,0.17,2.34,1,0
Paracuru,CE,35304,14.09,4974,111,0.31,2.23,26,0
Paraipaba,CE,32992,8.82,2910,76,0.23,2.61,11,3
Parambu,CE,31455,4.82,1515,62,0.20,4.09,3,-1
Paramoti,CE,12252,8.28,1014,18,0.15,1.77,0,1
Pedra Branca,CE,43309,3.23,1397,63,0.15,4.51,5,0
Penaforte,CE,9143,8.81,806,14,0.15,1.73,0,1
Pentecoste,CE,37900,10.31,3906,86,0.23,2.20,36,1
Pereiro,CE,16331,14.10,2302,25,0.15,1.09,2,0
Pindoretama,CE,20769,10.56,2194,38,0.18,1.73,5,0
Piquet Carneiro,CE,17086,12.17,2079,25,0.15,1.20,29,0
Pires Ferreira,CE,11001,9.47,1042,7,0.06,0.67,1,1
Poranga,CE,12347,7.26,897,13,0.11,1.45,3,0
Porteiras,CE,14958,10.38,1553,31,0.21,1.99,3,0
Potengi,CE,11106,5.94,660,6,0.05,0.91,3,0
Potiretama,CE,6437,12.66,815,7,0.11,0.86,-2,0
Quiterianópolis,CE,21166,7.93,1678,49,0.23,2.92,15,2
Quixadá,CE,88321,11.05,9758,197,0.22,2.02,34,3
Quixelô,CE,16147,16.28,2629,29,0.18,1.10,5,0
Quixeramobim,CE,81778,12.02,9827,226,0.28,2.30,24,0
Quixeré,CE,22293,17.61,3926,43,0.19,1.09,12,0
