city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
São João d'Aliança,GO,14085,5.01,706,26,0.18,3.68,0,0
São João da Paraúna,GO,1345,7.06,95,2,0.15,2.08,0,0
São Luiz do Norte,GO,5215,10.74,560,16,0.31,2.85,0,0
São Luís de Montes Belos,GO,34157,13.93,4757,128,0.37,2.69,0,0
São Miguel do Araguaia,GO,21920,13.11,2873,62,0.28,2.16,47,0
São Miguel do Passa Quatro,GO,4082,8.35,341,6,0.15,1.75,0,0
São Patrício,GO,2037,15.90,324,9,0.44,2.77,0,0
São Simão,GO,20985,7.33,1538,60,0.29,3.90,0,0
Sítio d'Abadia,GO,3001,1.27,38,0,0.00,0.00,0,0
Taquaral de Goiás,GO,3521,7.21,254,8,0.23,3.14,0,0
Teresina de Goiás,GO,3498,5.92,207,1,0.03,0.48,0,0
Terezópolis de Goiás,GO,8186,13.81,1131,26,0.32,2.30,0,0
Trindade,GO,129823,9.27,12031,434,0.33,3.61,0,0
Trombas,GO,3498,12.46,436,8,0.23,1.83,0,0
Três Ranchos,GO,2830,8.12,230,12,0.42,5.19,0,0
Turvelândia,GO,5365,16.60,891,16,0.30,1.79,0,0
Turvânia,GO,4564,14.26,651,25,0.55,3.83,0,0
Uirapuru,GO,2840,8.03,228,9,0.32,3.93,0,0
Uruana,GO,13818,12.40,1714,38,0.27,2.22,0,0
Uruaçu,GO,40840,13.24,5407,131,0.32,2.42,0,0
Urutaí,GO,3066,7.30,224,3,0.10,1.33,0,0
Valparaíso de Goiás,GO,172135,7.47,12857,351,0.20,2.73,1,1
Varjão,GO,3838,13.68,525,12,0.31,2.28,0,0
Vianópolis,GO,13977,6.25,873,33,0.24,3.78,0,0
Vicentinópolis,GO,8873,15.03,1334,23,0.26,1.72,1,0
Vila Boa,GO,6312,3.10,196,4,0.06,2.03,0,0
Vila Propício,GO,5882,6.36,374,7,0.12,1.87,0,0
Água Fria de Goiás,GO,5793,5.54,321,10,0.17,3.11,0,0
Água Limpa,GO,1830,8.90,163,3,0.16,1.83,0,0
Águas Lindas de Goiás,GO,217698,4.08,8878,305,0.14,3.44,1,1
Afonso Cunha,MA,6578,4.04,266,3,0.05,1.12,0,0
Alcântara,MA,22112,1.47,325,18,0.08,5.52,0,0
Aldeias Altas,MA,26757,3.65,976,14,0.05,1.43,0,0
Altamira do Maranhão,MA,8189,3.89,319,12,0.15,3.75,0,0
Alto Alegre do Maranhão,MA,27858,4.67,1300,28,0.10,2.15,0,0
Alto Alegre do Pindaré,MA,31943,6.87,2196,47,0.15,2.14,0,0
Alto Parnaíba,MA,11212,8.59,963,11,0.10,1.14,0,0
Amapá do Maranhão,MA,7005,2.46,172,6,0.09,3.47,0,0
Amarante do Maranhão,MA,41729,3.82,1594,53,0.13,3.32,0,0
Anajatuba,MA,26988,3.79,1023,25,0.09,2.44,0,0
Anapurus,MA,15894,5.23,831,14,0.09,1.68,0,0
Apicum-Açu,MA,17413,3.06,533,5,0.03,0.94,0,0
Araguanã,MA,15551,5.20,808,5,0.03,0.62,0,0
Araioses,MA,46771,1.45,680,15,0.03,2.20,0,0
Arame,MA,32764,4.77,1563,42,0.13,2.69,0,0
Arari,MA,29932,3.28,983,33,0.11,3.35,0,0
Axixá,MA,12183,1.58,192,8,0.07,4.15,0,0
Açailândia,MA,113121,4.95,5599,236,0.21,4.21,0,0
Bacabal,MA,104790,5.21,5459,196,0.19,3.59,0,1
Bacabeira,MA,17252,2.26,390,10,0.06,2.56,0,0
Bacuri,MA,18654,3.22,601,4,0.02,0.66,0,0
Bacurituba,MA,5670,2.06,117,2,0.04,1.69,0,0
Balsas,MA,95929,11.73,11252,200,0.21,1.78,0,0
Barra do Corda,MA,88492,6.58,5827,66,0.07,1.13,1,1
Barreirinhas,MA,63217,3.90,2464,43,0.07,1.74,0,0
Barão de Grajaú,MA,18924,2.52,477,2,0.01,0.42,0,0
Bela Vista do Maranhão,MA,11279,1.96,221,19,0.17,8.56,0,0
Belágua,MA,7528,5.49,413,4,0.05,0.97,0,0
Benedito Leite,MA,5638,5.57,314,2,0.04,0.63,0,0
Bequimão,MA,21299,1.32,281,22,0.10,7.80,0,0
Bernardo do Mearim,MA,6073,4.92,299,6,0.10,2.00,0,0
Boa Vista do Gurupi,MA,8382,0.18,15,4,0.05,25.00,0,0
Bom Jardim,MA,41822,3.46,1445,53,0.13,3.67,0,0
Bom Jesus das Selvas,MA,34567,10.06,3478,27,0.08,0.78,0,0
Bom Lugar,MA,16438,3.18,522,7,0.04,1.34,0,0
Brejo,MA,36651,2.53,927,19,0.05,2.05,0,0
Brejo de Areia,MA,9014,3.51,316,11,0.12,3.47,0,0
Buriti,MA,28798,2.98,857,8,0.03,0.93,0,0
Buriti Bravo,MA,23939,7.10,1700,20,0.08,1.18,0,0
Buriticupu,MA,72983,4.98,3636,66,0.09,1.81,0,0
Buritirana,MA,15467,2.90,448,24,0.16,5.35,0,0
Cachoeira Grande,MA,9478,3.45,327,8,0.08,2.44,0,0
Cajapió,MA,11216,1.52,170,7,0.06,4.09,0,0
Cajari,MA,19451,1.30,253,9,0.05,3.54,0,0
Campestre do Maranhão,MA,14453,7.59,1097,44,0.30,4.01,0,0
Cantanhede,MA,22117,4.06,899,13,0.06,1.44,0,0
Capinzal do Norte,MA,10935,5.89,644,8,0.07,1.24,0,0
Carolina,MA,24165,4.44,1074,24,0.10,2.23,0,0
Carutapera,MA,23952,4.25,1018,36,0.15,3.53,0,0
Caxias,MA,165525,7.05,11674,277,0.17,2.37,0,2
Cedral,MA,10693,1.95,209,5,0.05,2.38,0,0
Central do Maranhão,MA,8740,0.50,44,3,0.03,6.67,0,0
Centro Novo do Maranhão,MA,21840,5.27,1150,11,0.05,0.96,0,0
Centro do Guilherme,MA,13670,3.72,509,5,0.04,0.98,0,0
Chapadinha,MA,80195,7.37,5911,127,0.16,2.15,0,0
Cidelândia,MA,14777,3.94,582,7,0.05,1.20,0,0
Codó,MA,123116,2.68,3297,217,0.18,6.58,0,0
Coelho Neto,MA,49621,3.29,1631,50,0.10,3.06,0,0
Colinas,MA,41312,7.88,3257,49,0.12,1.50,0,0
Conceição do Lago-Açu,MA,16400,1.41,231,11,0.07,4.74,0,0
Coroatá,MA,65544,5.02,3289,95,0.14,2.89,0,0
Cururupu,MA,32626,4.43,1445,25,0.08,1.73,0,0
Cândido Mendes,MA,20278,0.55,112,8,0.04,7.08,0,0
Davinópolis,MA,12916,4.59,593,28,0.22,4.71,0,0
Dom Pedro,MA,23372,6.23,1457,31,0.13,2.13,0,0
Duque Bacelar,MA,11401,6.96,794,15,0.13,1.89,0,0
Esperantinópolis,MA,17104,5.62,961,26,0.15,2.70,0,0
Estreito,MA,42527,8.15,3466,63,0.15,1.82,0,0
Feira Nova do Maranhão,MA,8484,18.40,1561,10,0.12,0.64,2,0
Fernando Falcão,MA,10460,8.11,848,1,0.01,0.12,0,0
Formosa da Serra Negra,MA,19258,6.89,1326,8,0.04,0.60,0,0
Fortaleza dos Nogueiras,MA,12647,9.91,1253,18,0.14,1.44,0,0
Fortuna,MA,15567,9.85,1533,5,0.03,0.33,0,0
Godofredo Viana,MA,11963,1.43,171,5,0.04,2.91,0,0
Gonçalves Dias,MA,17944,5.88,1056,21,0.12,1.99,0,0
Governador Archer,MA,10886,5.98,651,6,0.06,0.92,0,0
Governador Edison Lobão,MA,18520,3.97,736,33,0.18,4.48,0,0
Governador Eugênio Barros,MA,16882,9.24,1560,11,0.07,0.70,0,0
Governador Luiz Rocha,MA,7841,3.70,290,1,0.01,0.34,0,0
Governador Newton Bello,MA,10151,7.83,795,8,0.08,1.01,0,0
Governador Nunes Freire,MA,25539,3.45,881,10,0.04,1.13,0,0
Grajaú,MA,70065,7.66,5370,121,0.17,2.25,0,0
Graça Aranha,MA,6261,1.98,124,3,0.05,2.40,0,0
Guimarães,MA,11997,3.06,367,7,0.06,1.90,0,0
Humberto de Campos,MA,28932,5.87,1699,9,0.03,0.53,0,0
Icatu,MA,27269,1.10,300,15,0.06,4.98,0,0
Igarapé Grande,MA,11387,15.25,1737,14,0.12,0.81,0,0
Igarapé do Meio,MA,14324,6.12,877,29,0.20,3.30,0,0
Imperatriz,MA,259337,6.82,17699,806,0.31,4.55,0,0
Itaipava do Grajaú,MA,16005,5.85,937,11,0.07,1.17,0,0
Itapecuru Mirim,MA,68723,4.79,3290,83,0.12,2.52,0,0
Itinga do Maranhão,MA,26068,3.46,903,30,0.12,3.32,0,0
Jatobá,MA,10310,0.89,92,5,0.05,5.38,0,0
Jenipapo dos Vieiras,MA,17040,6.76,1152,21,0.12,1.82,0,0
Joselândia,MA,16198,4.09,663,5,0.03,0.75,0,0
João Lisboa,MA,23740,2.98,707,59,0.25,8.33,0,0
Junco do Maranhão,MA,4392,7.40,325,2,0.05,0.61,0,0
Lago Verde,MA,16314,5.46,890,25,0.15,2.81,0,0
Lago da Pedra,MA,50616,5.57,2820,79,0.16,2.80,0,0
Lago do Junco,MA,10869,5.05,549,4,0.04,0.73,0,0
Lago dos Rodrigues,MA,8857,6.80,602,13,0.15,2.16,0,0
Lagoa Grande do Maranhão,MA,11464,2.38,273,10,0.09,3.65,0,0
Lagoa do Mato,MA,11265,20.39,2297,17,0.15,0.74,0,0
Lajeado Novo,MA,7602,5.18,394,12,0.16,3.04,0,0
Lima Campos,MA,11918,10.13,1207,12,0.10,0.99,0,0
Loreto,MA,12214,6.32,772,6,0.05,0.78,0,0
Luís Domingues,MA,6984,8.32,581,3,0.04,0.52,0,0
Magalhães de Almeida,MA,20029,2.69,538,8,0.04,1.48,0,0
Maracaçumé,MA,21586,2.51,542,7,0.03,1.29,0,0
Marajá do Sena,MA,7775,3.03,236,4,0.05,1.69,0,0
Maranhãozinho,MA,16511,4.39,725,9,0.05,1.24,0,0
Mata Roma,MA,16977,2.46,418,13,0.08,3.10,0,0
Matinha,MA,23482,1.66,390,12,0.05,3.07,0,0
Matões,MA,33943,2.98,1013,12,0.04,1.18,0,0
Matões do Norte,MA,17033,1.41,240,6,0.04,2.49,0,0
Milagres do Maranhão,MA,8483,2.82,239,0,0.00,0.00,0,0
Mirador,MA,21031,4.26,895,9,0.04,1.00,0,0
Miranda do Norte,MA,28754,4.79,1377,32,0.11,2.32,0,0
Mirinzal,MA,15011,1.75,262,17,0.11,6.46,0,0
Montes Altos,MA,9111,8.54,778,10,0.11,1.28,0,0
Monção,MA,33664,6.98,2349,44,0.13,1.87,0,0
Morros,MA,19572,2.29,449,18,0.09,4.00,0,0
Nina Rodrigues,MA,14642,6.39,936,18,0.12,1.92,14,0
Nova Colinas,MA,5427,7.42,403,5,0.09,1.24,0,0
Nova Iorque,MA,4682,2.93,137,7,0.15,5.07,0,0
Nova Olinda do Maranhão,MA,21080,2.33,491,12,0.06,2.44,0,0
Olho d'Água das Cunhãs,MA,19561,4.59,898,25,0.13,2.78,0,0
Olinda Nova do Maranhão,MA,14836,5.26,781,12,0.08,1.53,0,0
Palmeirândia,MA,19781,1.09,215,15,0.08,6.94,0,0
Paraibano,MA,21479,4.65,999,37,0.17,3.70,0,1
Parnarama,MA,35008,4.74,1658,28,0.08,1.69,0,0
Passagem Franca,MA,19137,6.90,1321,30,0.16,2.27,0,0
Pastos Bons,MA,19583,4.00,784,18,0.09,2.29,0,0
Paulino Neves,MA,16166,2.24,362,5,0.03,1.38,0,0
Paulo Ramos,MA,21066,5.21,1097,32,0.15,2.91,0,0
Paço do Lumiar,MA,123747,1.12,1380,222,0.18,16.08,0,0
Pedreiras,MA,39191,11.43,4478,73,0.19,1.63,0,0
Pedro do Rosário,MA,25354,0.45,113,8,0.03,7.02,0,0
Penalva,MA,38731,1.23,478,14,0.04,2.92,0,0
Peri Mirim,MA,14345,2.11,302,5,0.03,1.65,0,0
Peritoró,MA,23364,4.75,1110,10,0.04,0.90,0,0
Pindaré-Mirim,MA,33065,5.44,1798,29,0.09,1.61,0,0
Pinheiro,MA,83777,3.84,3218,107,0.13,3.32,0,0
Pio XII,MA,21379,10.30,2203,29,0.14,1.32,0,0
Pirapemas,MA,18720,3.80,712,13,0.07,1.82,0,0
Porto Franco,MA,24092,7.43,1789,58,0.24,3.24,0,0
Porto Rico do Maranhão,MA,5955,3.90,232,7,0.12,3.00,0,0
Poção de Pedras,MA,17595,11.05,1944,21,0.12,1.08,0,0
Presidente Dutra,MA,48036,4.38,2102,16,0.03,0.76,0,0
Presidente Juscelino,MA,12838,1.58,203,1,0.01,0.49,0,0
Presidente Médici,MA,7070,5.16,365,3,0.04,0.82,0,0
Presidente Sarney,MA,19069,1.13,216,13,0.07,5.99,0,0
Presidente Vargas,MA,11261,3.79,427,7,0.06,1.64,0,0
Primeira Cruz,MA,15431,0.53,82,3,0.02,3.61,0,0
Raposa,MA,31177,5.19,1618,49,0.16,3.03,0,0
Riachão,MA,20334,10.04,2041,30,0.15,1.47,0,0
Ribamar Fiquene,MA,7825,6.18,484,17,0.22,3.51,0,0
Rosário,MA,42994,1.43,614,27,0.06,4.39,0,0
Sambaíba,MA,5679,6.87,390,2,0.04,0.51,0,0
Santa Filomena do Maranhão,MA,7826,0.64,50,0,0.00,0.00,0,0
Santa Helena,MA,42483,5.00,2124,27,0.06,1.27,0,0
Santa Inês,MA,89489,9.94,8893,205,0.23,2.30,0,0
Santa Luzia,MA,72887,7.82,5702,96,0.13,1.68,0,0
Santa Luzia do Paruá,MA,25371,4.91,1245,13,0.05,1.04,0,0
Santa Quitéria do Maranhão,MA,25764,1.94,501,19,0.07,3.78,0,0
Santa Rita,MA,38298,2.11,807,30,0.08,3.71,0,0
Santana do Maranhão,MA,13547,1.56,212,8,0.06,3.76,0,0
Santo Amaro do Maranhão,MA,16034,1.76,283,7,0.04,2.46,0,0
Santo Antônio dos Lopes,MA,14522,10.03,1457,25,0.17,1.71,0,0
Satubinha,MA,14096,2.44,344,4,0.03,1.16,0,0
Senador Alexandre Costa,MA,11214,4.13,463,1,0.01,0.22,0,0
Senador La Rocque,MA,14050,2.16,304,22,0.16,7.21,0,0
Serrano do Maranhão,MA,10299,2.01,207,4,0.04,1.92,0,0
Sucupira do Norte,MA,10634,2.23,237,6,0.06,2.52,0,0
Sucupira do Riachão,MA,5676,3.80,216,3,0.05,1.38,0,0
São Benedito do Rio Preto,MA,18717,8.43,1578,17,0.09,1.08,0,0
São Bento,MA,45604,1.98,904,25,0.05,2.76,0,0
São Bernardo,MA,28667,3.91,1120,20,0.07,1.78,0,0
São Domingos do Azeitão,MA,7420,3.57,265,4,0.05,1.50,0,0
São Domingos do Maranhão,MA,34384,8.28,2846,19,0.06,0.67,0,0
São Francisco do Brejão,MA,11941,4.44,530,0,0.00,0.00,0,0
São Francisco do Maranhão,MA,12218,3.42,418,25,0.20,5.97,0,0
São Félix de Balsas,MA,4562,6.07,277,2,0.04,0.72,0,0
São José de Ribamar,MA,179028,2.07,3699,306,0.17,8.27,0,0
São José dos Basílios,MA,7640,7.60,581,3,0.04,0.52,0,0
São João Batista,MA,20701,1.05,218,14,0.07,6.39,0,0
São João do Carú,MA,15787,3.43,541,8,0.05,1.48,0,0
São João do Paraíso,MA,11193,3.52,394,15,0.13,3.80,0,0
São João do Soter,MA,18645,6.36,1186,6,0.03,0.51,0,0
São João dos Patos,MA,25996,10.38,2699,30,0.12,1.11,0,0
São Luís,MA,1108975,4.08,45216,2525,0.23,5.58,2,0
São Luís Gonzaga do Maranhão,MA,18727,6.19,1159,20,0.11,1.72,0,0
São Mateus do Maranhão,MA,41579,5.16,2146,49,0.12,2.28,0,0
São Pedro da Água Branca,MA,12735,4.77,607,5,0.04,0.82,0,0
São Pedro dos Crentes,MA,4684,9.54,447,2,0.04,0.45,0,0
São Raimundo das Mangabeiras,MA,18980,12.58,2388,30,0.16,1.26,0,0
São Raimundo do Doca Bezerra,MA,5131,3.12,160,3,0.06,1.86,0,0
São Roberto,MA,6789,5.94,403,5,0.07,1.24,0,0
São Vicente Ferrer,MA,22350,1.00,224,7,0.03,3.11,0,0
Sítio Novo,MA,18160,9.59,1741,25,0.14,1.44,0,0
Tasso Fragoso,MA,8582,11.27,967,9,0.10,0.93,0,0
Timbiras,MA,29183,1.97,576,26,0.09,4.51,0,0
Timon,MA,170222,3.56,6057,320,0.19,5.28,0,0
Trizidela do Vale,MA,22112,7.62,1685,32,0.14,1.90,0,0
Tufilândia,MA,5854,4.94,289,5,0.09,1.72,0,0
Tuntum,MA,42040,5.15,2164,21,0.05,0.97,0,0
Turiaçu,MA,35709,0.90,323,6,0.02,1.85,0,0
Turilândia,MA,25868,3.11,804,10,0.04,1.24,0,0
Tutóia,MA,59398,2.57,1526,48,0.08,3.14,0,0
Urbano Santos,MA,33459,5.58,1868,37,0.11,1.98,0,0
Vargem Grande,MA,57168,3.69,2110,33,0.06,1.56,0,0
Viana,MA,52649,0.62,327,39,0.07,11.89,0,0
Vila Nova dos Martírios,MA,13598,4.49,610,6,0.04,0.98,0,0
Vitorino Freire,MA,31522,7.25,2285,59,0.19,2.58,0,0
Vitória do Mearim,MA,32861,6.10,2005,35,0.11,1.74,0,0
Zé Doca,MA,51956,10.02,5207,70,0.13,1.34,0,0
Água Doce do Maranhão,MA,12652,5.41,684,10,0.08,1.46,0,0
Abadia dos Dourados,MG,7006,6.08,426,14,0.20,3.28,1,0
Abaeté,MG,23250,5.16,1200,27,0.12,2.25,16,0
Abre Campo,MG,13444,7.95,1069,15,0.11,1.40,15,0
Acaiaca,MG,3994,5.58,223,11,0.28,4.91,0,0
Aguanil,MG,4522,13.24,599,8,0.18,1.33,0,0
Aimorés,MG,25141,7.60,1910,61,0.24,3.19,19,0
Aiuruoca,MG,5976,4.82,288,7,0.12,2.42,5,0
Alagoa,MG,2665,16.47,439,6,0.23,1.36,0,0
Albertina,MG,3011,7.60,229,9,0.30,3.91,4,0
Alfenas,MG,80494,10.70,8614,159,0.20,1.85,84,0
Alfredo Vasconcelos,MG,6981,6.67,466,12,0.17,2.57,2,0
Almenara,MG,42143,8.99,3789,45,0.11,1.19,0,0
Alpercata,MG,7436,6.36,473,19,0.26,4.01,0,0
Alpinópolis,MG,19958,6.25,1248,33,0.17,2.64,5,0
Alterosa,MG,14517,4.64,674,31,0.21,4.59,0,0
Alto Caparaó,MG,5894,6.51,384,9,0.15,2.34,0,0
Alto Jequitibá,MG,8301,8.60,714,10,0.12,1.40,3,0
Alto Rio Doce,MG,10859,3.90,424,25,0.23,5.88,0,0
Alvarenga,MG,3844,11.60,446,4,0.10,0.89,3,0
Alvinópolis,MG,15169,4.21,638,21,0.14,3.29,4,0
Alvorada de Minas,MG,3605,7.04,254,3,0.08,1.18,0,1
Além Paraíba,MG,35401,8.68,3072,137,0.39,4.46,16,0
Amparo do Serra,MG,4678,3.12,146,8,0.17,5.44,0,0
Andradas,MG,41396,8.36,3461,105,0.25,3.03,0,1
Andrelândia,MG,12206,1.69,206,9,0.07,4.35,0,0
Angelândia,MG,8557,1.43,122,1,0.01,0.81,6,0
Antônio Carlos,MG,11459,5.74,658,13,0.11,1.97,18,0
Antônio Dias,MG,9275,6.06,562,23,0.25,4.09,1,0
Antônio Prado de Minas,MG,1587,10.08,160,5,0.31,3.11,0,0
Aracitaba,MG,2059,4.13,85,8,0.39,9.30,2,0
Araguari,MG,117825,12.63,14882,382,0.32,2.57,19,2
Arantina,MG,2787,5.60,156,3,0.11,1.91,0,0
Araponga,MG,8453,5.10,431,6,0.07,1.39,0,0
Araporã,MG,6931,26.17,1814,27,0.39,1.49,5,0
Arapuá,MG,2835,8.78,249,2,0.07,0.80,0,0
Araxá,MG,107337,11.53,12372,196,0.18,1.58,51,1
Araçaí,MG,2354,2.97,70,1,0.04,1.41,0,0
Araçuaí,MG,36712,4.35,1598,38,0.10,2.38,17,0
Araújos,MG,9401,7.51,706,9,0.10,1.27,0,0
Arceburgo,MG,10883,9.35,1018,27,0.25,2.65,0,0
Arcos,MG,40380,11.78,4757,109,0.27,2.29,14,0
Areado,MG,15181,5.66,859,18,0.12,2.09,16,0
Argirita,MG,2704,9.39,254,5,0.18,1.96,0,0
Aricanduva,MG,5269,1.57,83,0,0.00,0.00,0,0
Arinos,MG,17862,3.74,668,19,0.11,2.84,4,0
Astolfo Dutra,MG,14270,9.09,1297,22,0.15,1.69,0,0
Ataléia,MG,12678,8.56,1085,8,0.06,0.74,0,0
Augusto de Lima,MG,4851,5.34,259,8,0.16,3.08,0,0
Açucena,MG,9368,7.94,744,29,0.31,3.89,1,1
Baependi,MG,19199,7.34,1409,13,0.07,0.92,9,0
Baldim,MG,7803,7.73,603,19,0.24,3.15,2,0
Bambuí,MG,23898,6.39,1528,24,0.10,1.57,0,0
Bandeira,MG,4766,9.52,454,9,0.19,1.98,0,0
Bandeira do Sul,MG,5778,8.55,494,12,0.21,2.42,13,0
Barbacena,MG,138204,5.50,7607,251,0.18,3.30,0,0
Barra Longa,MG,5015,7.48,375,9,0.18,2.39,1,0
Barroso,MG,20897,8.57,1792,47,0.22,2.62,14,0
Barão de Cocais,MG,32866,10.77,3540,60,0.18,1.69,6,0
Barão de Monte Alto,MG,5354,6.09,326,12,0.22,3.67,0,0
Bela Vista de Minas,MG,10262,7.56,776,22,0.21,2.83,5,0
Belmiro Braga,MG,3425,5.78,198,3,0.09,1.51,2,0
Belo Horizonte,MG,2521564,8.98,226544,5503,0.22,2.43,2872,33
Belo Oriente,MG,26994,9.40,2537,61,0.23,2.40,2,1
Belo Vale,MG,7719,10.79,833,10,0.13,1.20,3,0
Berilo,MG,11872,1.22,145,1,0.01,0.68,0,0
Berizal,MG,4764,3.61,172,1,0.02,0.58,5,0
Bertópolis,MG,4607,7.53,347,0,0.00,0.00,10,0
Betim,MG,444784,6.51,28970,1154,0.26,3.98,245,17
Bias Fortes,MG,3329,3.33,111,3,0.09,2.68,0,0
Bicas,MG,14554,9.46,1377,43,0.30,3.12,2,0
Biquinhas,MG,2498,4.72,118,1,0.04,0.84,0,0
Boa Esperança,MG,40219,9.87,3971,104,0.26,2.62,27,1
Bocaina de Minas,MG,5089,3.46,176,7,0.14,3.95,0,0
Bocaiúva,MG,50256,4.38,2202,57,0.11,2.59,28,2
Bom Despacho,MG,51028,8.04,4104,74,0.15,1.80,36,1
Bom Jardim de Minas,MG,6459,7.11,459,3,0.05,0.65,0,0
Bom Jesus da Penha,MG,4244,14.53,617,14,0.33,2.27,16,0
Bom Jesus do Amparo,MG,6133,3.70,227,6,0.10,2.63,14,0
Bom Jesus do Galho,MG,14862,4.10,609,27,0.18,4.43,3,1
Bom Repouso,MG,10537,8.68,915,19,0.18,2.07,5,0
Bom Sucesso,MG,17607,5.34,940,11,0.06,1.17,0,0
Bonfim,MG,6860,5.54,380,13,0.19,3.41,0,0
Bonfinópolis de Minas,MG,5444,8.43,459,12,0.22,2.61,0,0
Bonito de Minas,MG,11369,0.49,56,0,0.00,0.00,0,0
Borda da Mata,MG,19614,7.48,1467,42,0.21,2.86,34,0
Botelhos,MG,14949,10.76,1609,19,0.13,1.18,59,0
Botumirim,MG,6288,3.61,227,4,0.06,1.75,1,0
Brasilândia de Minas,MG,16748,7.10,1189,17,0.10,1.43,5,0
Brasília de Minas,MG,32405,3.10,1005,8,0.02,0.80,0,0
Brazópolis,MG,14410,5.40,778,29,0.20,3.72,1,0
Braúnas,MG,4769,4.57,218,7,0.15,3.20,0,0
Brumadinho,MG,40666,8.46,3441,75,0.18,2.18,15,1
Brás Pires,MG,4293,4.73,203,7,0.16,3.43,0,0
Bueno Brandão,MG,10991,7.04,774,24,0.22,3.10,0,0
Buenópolis,MG,10353,2.95,305,11,0.11,3.59,0,0
Bugre,MG,3983,9.11,363,12,0.30,3.30,1,0
Buritis,MG,25013,6.62,1656,34,0.14,2.05,12,0
Buritizeiro,MG,28121,4.51,1269,31,0.11,2.44,22,0
Cabeceira Grande,MG,6988,5.55,388,5,0.07,1.29,1,0
Cabo Verde,MG,14075,4.46,628,9,0.06,1.43,0,0
Cachoeira Dourada,MG,2706,5.32,144,2,0.07,1.38,1,0
Cachoeira da Prata,MG,3591,6.29,226,11,0.31,4.85,0,0
Cachoeira de Minas,MG,11579,5.64,653,9,0.08,1.38,16,0
Cachoeira de Pajeú,MG,9442,5.19,490,10,0.11,2.04,0,0
Caetanópolis,MG,11749,7.57,890,15,0.13,1.68,-81,0
Caeté,MG,45047,4.21,1896,54,0.12,2.85,9,0
Caiana,MG,5541,2.45,136,7,0.13,5.11,0,0
Cajuri,MG,3974,9.43,375,2,0.05,0.53,3,0
Caldas,MG,14541,5.64,820,28,0.19,3.41,7,0
Camacho,MG,2869,3.17,91,2,0.07,2.17,0,0
Camanducaia,MG,21801,13.58,2960,58,0.27,1.96,0,0
Cambuquira,MG,12812,5.18,664,19,0.15,2.86,7,1
Cambuí,MG,29814,11.79,3514,53,0.18,1.51,96,0
Campanha,MG,16762,9.56,1602,30,0.18,1.87,19,0
Campanário,MG,3730,5.79,216,4,0.11,1.84,0,0
Campestre,MG,21054,7.56,1591,36,0.17,2.26,16,0
Campina Verde,MG,19752,5.67,1120,29,0.15,2.59,0,0
Campo Azul,MG,3824,5.49,210,0,0.00,0.00,0,0
Campo Belo,MG,54186,11.70,6338,174,0.32,2.74,0,3
Campo Florido,MG,8269,10.82,895,11,0.13,1.23,5,0
Campo do Meio,MG,11651,7.22,841,16,0.14,1.90,6,0
Campos Altos,MG,15563,6.94,1080,21,0.13,1.94,0,0
Campos Gerais,MG,28842,6.83,1969,35,0.12,1.78,31,0
Cana Verde,MG,5594,9.72,544,6,0.11,1.10,0,0
Canaã,MG,4548,5.21,237,1,0.02,0.42,0,0
Candeias,MG,14888,4.41,656,18,0.12,2.74,16,0
Cantagalo,MG,4551,4.37,199,2,0.04,1.00,0,0
Canápolis,MG,12201,8.19,999,20,0.16,2.00,13,0
Caparaó,MG,5451,6.35,346,5,0.09,1.44,0,0
Capela Nova,MG,4634,3.28,152,5,0.11,3.27,0,0
Capelinha,MG,38057,5.26,2001,24,0.06,1.20,0,1
Capetinga,MG,6890,10.62,732,19,0.28,2.59,6,0
Capim Branco,MG,9826,7.14,702,14,0.14,1.99,0,0
Capinópolis,MG,16234,12.12,1967,39,0.24,1.98,6,1
Capitão Andrade,MG,5514,6.76,373,18,0.33,4.81,0,0
Capitão Enéas,MG,15313,6.58,1007,14,0.09,1.39,0,0
Capitólio,MG,8663,9.79,848,29,0.33,3.42,13,1
Caputira,MG,9308,9.15,852,15,0.16,1.76,0,0
Caranaíba,MG,3166,3.85,122,4,0.13,3.25,2,0
Carandaí,MG,25669,6.69,1718,45,0.18,2.62,16,1
Carangola,MG,33011,10.53,3477,84,0.25,2.42,8,0
Caratinga,MG,92603,9.36,8669,238,0.26,2.75,43,0
Caraí,MG,23780,4.14,984,15,0.06,1.52,0,0
Carbonita,MG,9414,5.74,540,5,0.05,0.92,32,0
Careaçu,MG,6792,7.83,532,11,0.16,2.06,15,0
Carlos Chagas,MG,18674,12.22,2282,37,0.20,1.62,0,3
Carmo da Cachoeira,MG,12182,3.98,485,10,0.08,2.06,19,0
Carmo da Mata,MG,11511,6.21,715,6,0.05,0.84,13,0
Carmo de Minas,MG,14947,5.69,851,19,0.13,2.23,6,0
Carmo do Cajuru,MG,22693,4.38,994,34,0.15,3.42,0,0
Carmo do Paranaíba,MG,30334,9.02,2735,97,0.32,3.55,0,1
Carmo do Rio Claro,MG,21268,5.73,1219,45,0.21,3.69,11,0
Carmésia,MG,2646,3.63,96,0,0.00,0.00,0,0
Carmópolis de Minas,MG,19559,9.81,1918,39,0.20,2.03,9,0
Carneirinho,MG,10066,10.59,1066,37,0.37,3.47,13,1
